F_fuel,F_steam,O2,CO,NO,NO2,NOx,CO2,SO2
0.2,1.7840000000000014,10.348733277618848,213.469808756105,0.0,7.039467498438765,5.598153373659713,8.32193494017292,71.11389873782377
0.21600000000000003,1.7840000000000014,10.348733277618848,213.469808756105,0.0,7.039467498438765,5.598153373659713,8.32193494017292,71.11389873782377
0.23200000000000004,1.7840000000000014,10.348733277618848,213.469808756105,0.0,7.039467498438765,5.598153373659713,8.32193494017292,71.11389873782377
0.24800000000000005,1.7840000000000014,10.342103207685842,213.469808756105,0.0,7.033285537742114,5.598153373659713,8.32193494017292,71.11389873782377
0.26400000000000007,1.7840000000000014,10.337476445527855,213.50380738949997,0.0,7.033070396655472,5.598153373659713,8.32668282597356,71.15769484533848
0.2800000000000001,1.7840000000000014,10.326432589540204,213.53799370842074,0.0,7.01370365432565,5.598153373659713,8.336123536695357,71.27885060117
0.2960000000000001,1.7840000000000014,10.299638106620094,213.6391413992573,0.0,6.98842374949204,5.716105024542628,8.357823562510067,71.55119495387885
0.3120000000000001,1.7840000000000014,10.257785424657207,213.76344038156248,0.0,6.942930089347212,5.839060507024982,8.387937893291234,71.93630047822398
0.3280000000000001,1.7840000000000014,10.21169390517667,213.8917598906691,0.0,6.896586380545952,5.967121541512753,8.42213636065387,72.36167070996078
0.34400000000000014,1.7840000000000014,10.166183390665548,214.02150326856844,0.0,6.849390397059747,6.100388652897607,8.457483412449083,72.79668634294944
0.36000000000000015,1.7840000000000014,10.119620469902511,214.07547677535553,0.0,6.801340764598106,6.238960936523782,8.495562389483755,73.25108815921203
0.37600000000000017,1.7840000000000014,10.067848328041318,214.1404860605557,0.0,6.7476038241917395,6.382935815916795,8.534584878700993,73.73272056860606
0.3920000000000002,1.7840000000000014,10.018170748156425,214.16322520648617,0.0,6.691545329602119,6.53240879282869,8.572256061415981,74.22558770284456
0.4080000000000002,1.7840000000000014,9.969405522406532,214.1854449361992,0.0,6.634429950641388,6.687473190229326,8.611761948703975,74.70249037290739
0.4240000000000002,1.7840000000000014,9.919581765704866,214.20219070181787,0.0,6.576261485569856,6.848219888955384,8.654654368929432,75.2016274089732
0.4400000000000002,1.7840000000000014,9.868686438521934,214.20219070181787,0.0,6.517732441152586,7.01473705879657,8.69859426494217,75.74050741529021
0.45600000000000024,1.7840000000000014,9.816706862483809,214.20219070181787,0.0,6.463348356857222,7.187109884871859,8.743596099229116,76.29177168198214
0.47200000000000025,1.7840000000000014,9.76065611352511,214.20219070181787,0.0,6.407594007276882,7.365420290209087,8.789229470566415,76.85557939022715
0.48800000000000027,1.7840000000000014,9.701081905042045,214.20219070181787,0.0,6.347317520378934,7.5497466554978985,8.832440453239702,77.42767791006031
0.5040000000000002,1.7840000000000014,9.640162169361803,214.20219070181787,0.0,6.286083758328201,7.7401635370315205,8.876222764639156,77.98184805137038
0.5200000000000002,1.7840000000000014,9.577882163379753,214.20219070181787,0.2419303364672416,6.223905423628733,7.93674138388883,8.920931005171145,78.53183356819238
0.5360000000000003,1.7840000000000014,9.514227805774528,214.16885874544204,0.5127075360420505,6.160796926195116,8.139546255433018,8.966574163582692,79.09291318043034
0.5520000000000003,1.7840000000000014,9.449185722370657,214.10893425605462,0.7900167355410233,6.098189955501579,8.348639540213085,9.013160764300007,79.66519610509556
0.5680000000000003,1.7840000000000014,9.386405418556917,213.96199419580233,1.0791441216430187,6.036041429029933,8.564077677354675,9.060698835903661,80.24878728779368
0.5840000000000003,1.7840000000000014,9.32396463503228,213.83849529932303,1.3885109207769162,5.973085298500107,8.785911881506706,9.111858436442343,80.84378717565596
0.6000000000000003,1.7840000000000014,9.259941889584814,213.67999440961893,1.6995531522279563,5.909340772003628,9.014187872384511,9.165649099154287,81.45029149157364
0.6160000000000003,1.7840000000000014,9.191184099851132,213.48743011507275,2.001279524675901,5.8448286365348965,9.248945609903004,9.21948984669477,82.11421915299337
0.6320000000000003,1.7840000000000014,9.121052918608337,213.26969920610458,2.3296740000689553,5.779571264424459,9.489656509462591,9.27231568375726,82.79525906804145
0.6480000000000004,1.7840000000000014,9.049540953789345,213.02058974988648,2.672376261466404,5.711549857582011,9.734308788663924,9.326172289394865,83.47008802110037
0.6640000000000004,1.7840000000000014,8.976641815624722,212.75160650061997,3.02295637942796,5.640882899590818,9.982141481345025,9.3810644053836,84.14014704790145
0.6800000000000004,1.7840000000000014,8.9023501692478,212.47836827708915,3.381392933117745,5.5694670859744635,10.232458658889257,9.436995987963837,84.82262769839502
0.6960000000000004,1.7840000000000014,8.827961922593701,212.19547671527465,3.7476553448616343,5.4983634510157176,10.484646678927476,9.493970167108408,85.51759656273998
0.7120000000000004,1.7840000000000014,8.753576248788146,211.87053969619336,4.121703812443393,5.430620199678725,10.740623698142741,9.55303399374479,86.22511373469155
0.7280000000000004,1.7840000000000014,8.6778895334836,211.48527000022085,4.503489280742478,5.362322196281068,11.001991662538785,9.61425943725089,86.94523260030678
0.7440000000000004,1.7840000000000014,8.600902372077037,211.07049310875158,4.892953453930538,5.288953896473257,11.268732512256562,9.676611705901834,87.68230989276395
0.7600000000000005,1.7840000000000014,8.522616654291886,210.63471369112966,5.290028849010575,5.214899209874997,11.540823013298123,9.74009095502544,88.45085430674584
0.7760000000000005,1.7840000000000014,8.44303563074025,210.20727095162937,5.694638890418666,5.146057009239354,11.818234711120283,9.804696223484715,89.2346101154676
0.7920000000000005,1.7840000000000014,8.362163983419965,209.7525385554233,6.106267076557053,5.069732671529818,12.100933899750686,9.870425378508074,90.031960190743
