F_fuel,F_air,O2,CO,NO,NO2,NOx,CO2,SO2
0.2,1.7840000000000014,2.3774118014434666,36.116258822129616,98.86862477025889,2.5847064203482706,101.45869905936507,14.404308954072341,8.946978638732178
0.21600000000000003,1.7840000000000014,2.3766067377889843,36.116258822129616,98.86093725015908,2.5847064203482706,101.45377049230844,14.404308954072341,8.946978638732178
0.23200000000000004,1.7840000000000014,2.376032038338029,36.106872071746835,98.85798727928058,2.583946913522354,101.4501202381991,14.404807599674012,8.949574402698195
0.24800000000000005,1.7840000000000014,2.3756519239391105,36.10601105600826,98.84623022994796,2.5832985998701354,101.44001027140582,14.40537616518144,8.95421293095908
0.26400000000000007,1.7840000000000014,2.3753607621176744,36.090769897295296,98.84393234364556,2.58228320254555,101.4338776532563,14.43031814185679,8.97480200353356
0.2800000000000001,1.7840000000000014,2.339627669063301,36.077863338611046,98.8344486101376,2.580495933486846,101.41741109640793,14.432629418357415,8.985722512901848
0.2960000000000001,1.7840000000000014,2.3387097897171882,36.062819945127266,98.82466616076118,2.577870622829459,101.41141980201344,14.433254084094381,8.991216519750362
0.3120000000000001,1.7840000000000014,2.3010974847377375,36.03361344523479,98.7946695230811,2.5751963883413844,101.38662097358048,14.462144618471411,9.025181313071965
0.3280000000000001,1.7840000000000014,2.263280673465344,36.014276245347375,98.75852163043032,2.571207853179659,101.33012028883232,14.49163307566395,9.063108505578539
0.34400000000000014,1.7840000000000014,2.226386093253465,35.96643569284155,98.69276912692422,2.566223873310306,101.28311875717858,14.520182076149368,9.103223952117586
0.36000000000000015,1.7840000000000014,2.190147189499572,35.92098400146359,98.62630046190205,2.560942048238817,101.18703105310775,14.548153176615964,9.142415698130657
0.37600000000000017,1.7840000000000014,2.1547045977931596,35.879639536939656,98.50395502894663,2.5553072773969365,101.05043405708702,14.5754256463239,9.181039648615068
0.3920000000000002,1.7840000000000014,2.120204862567931,35.822484661876715,98.34004077440844,2.5495693624417033,100.89762398941309,14.601874418418516,9.218906082994632
0.4080000000000002,1.7840000000000014,2.0867986747544025,35.75903546839419,98.11703285285809,2.5439136582696404,100.67797490109693,14.626078195820543,9.255819264299395
0.4240000000000002,1.7840000000000014,2.0577270232638583,35.68757171928018,97.92600519071482,2.5380076720257385,100.44919113724562,14.650002777563678,9.2907516779089
0.4400000000000002,1.7840000000000014,2.0266977893732676,35.59288452204459,97.65579205342853,2.5318173669945407,100.20351297196183,14.672190283793455,9.323097796972169
0.45600000000000024,1.7840000000000014,2.000361260574916,35.526874619333036,97.32715573733395,2.525308607950268,99.83783540195209,14.694007633216977,9.35525722539046
0.47200000000000025,1.7840000000000014,1.9726825671066113,35.41538657562432,96.99999136387635,2.51844789157833,99.52599735591869,14.713492235918395,9.38519566255921
0.48800000000000027,1.7840000000000014,1.950773699983377,35.30049553057514,96.59046321814836,2.5112030430149694,99.10003511764748,14.73140719305051,9.412866163780352
0.5040000000000002,1.7840000000000014,1.9332271636483283,35.18083403198291,96.19819209791609,2.503641749014943,98.69443160903731,14.744945322089443,9.438143432113272
0.5200000000000002,1.7840000000000014,1.9190567817642137,35.031140843703874,95.76243426327459,2.495872114081542,98.25241567729068,14.754862718792726,9.462511242224046
0.5360000000000003,1.7840000000000014,1.9036925763340395,34.858166010790136,95.20804426450617,2.487681798407123,97.71117417640997,14.767771463386554,9.478056483149732
0.5520000000000003,1.7840000000000014,1.895199192371849,34.70657665466922,94.69182591083195,2.4790478412512607,97.15587207310219,14.772421009814039,9.495761447082202
0.5680000000000003,1.7840000000000014,1.881661160368929,34.512702650948285,94.0830333337124,2.469949697255319,96.5326952608623,14.785920618053716,9.516704550570612
0.5840000000000003,1.7840000000000014,1.8761519262701016,34.29380288144035,93.47218738618443,2.458664789412919,95.90354875242622,14.7882335219455,9.523327074324216
0.6000000000000003,1.7840000000000014,1.8731493616644244,34.127278991630504,92.91378930604367,2.4492143765031273,95.33528456807902,14.794818356643695,9.54317609005393
0.6160000000000003,1.7840000000000014,1.8651745361741083,33.877089566180366,92.32976055769669,2.4382364817241884,94.74099510074157,14.799919696617863,9.552613816701694
0.6320000000000003,1.7840000000000014,1.8575131206292204,33.660134382493936,91.7215135032198,2.428107567916018,94.1220891945054,14.801686391810138,9.566440190567906
0.6480000000000004,1.7840000000000014,1.8575131206292204,33.399796127763146,90.93225965449687,2.4148471459769114,93.39025902700597,14.801686391810138,9.571853499342446
0.6640000000000004,1.7840000000000014,1.8596772342632786,33.14487061817904,90.04992742566141,2.4023716078927357,92.49517284635303,14.799926281616479,9.58182195718183
0.6800000000000004,1.7840000000000014,1.8656767384837503,32.89858447720166,89.14173190928156,2.3895180162571936,91.57347347059556,14.796620666770018,9.586324140432318
0.6960000000000004,1.7840000000000014,1.8737644014294377,32.600658522315136,88.35599494143057,2.3780639319765853,90.71615906143656,14.7933525769918,9.590851773095144
0.7120000000000004,1.7840000000000014,1.8767082673083735,32.30269968539889,87.5531706103258,2.3621160445908616,89.88673359780447,14.787691892716566,9.596950106569523
0.7280000000000004,1.7840000000000014,1.8823067725805451,31.986330078929733,86.70594416056841,2.346839168359411,89.07690736701103,14.783257495711759,9.597885225718475
0.7440000000000004,1.7840000000000014,1.8991887579774334,31.685742024981096,85.88241131408469,2.3320322629983137,88.19295557274403,14.769994136191166,9.596950106569523
0.7600000000000005,1.7840000000000014,1.9065534550627934,31.4215659438973,85.09053984932855,2.315282518707952,87.3863506917173,14.76558997954696,9.591234725535418
